BIU,TAU,Ariel,Technion,BGU,HUJI,WIS
Tamar Traube,Fernando Patolsky,Michael Zinigrad,,Eyal Arbely,,Michael Elbaum
Rachel Persky,,Flavio Grynszpan,,Ehud Pines,,Nir Gov
,,Daniil Bograchev,,,,Igor Lubomirsky
,,Arie Borenstein,,,,Ulyana Shimanovich
